Raw Filename,SamplerType,windowSize,sample_size ,parallel_count,cluster_centers,time taken
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=1.'] time: 0.049356698989868164",WillsSampler,30,30,1,1,0.04935669899
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=11.'] time: 0.1570732593536377",WillsSampler,30,30,1,11,0.1570732594
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=16.'] time: 0.1838061809539795",WillsSampler,30,30,1,16,0.183806181
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=21.'] time: 0.21306705474853516",WillsSampler,30,30,1,21,0.2130670547
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=31.'] time: 0.2950778007507324",WillsSampler,30,30,1,31,0.2950778008
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=41.'] time: 0.42513084411621094",WillsSampler,30,30,1,41,0.4251308441
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=51.'] time: 0.46732378005981445",WillsSampler,30,30,1,51,0.4673237801
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.', 'cluster_centers=6.'] time: 0.09734392166137695",WillsSampler,30,30,1,6,0.09734392166
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=1.'] time: 0.32929515838623047",WillsSampler,30,30,1,0,0.3292951584
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=1.'] time: 0.0776362419128418",WillsSampler,30,30,2,1,0.07763624191
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=11.'] time: 0.13884210586547852",WillsSampler,30,30,2,11,0.1388421059
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=16.'] time: 0.18441987037658691",WillsSampler,30,30,2,16,0.1844198704
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=21.'] time: 0.21693110466003418",WillsSampler,30,30,2,21,0.2169311047
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=31.'] time: 0.39083170890808105",WillsSampler,30,30,2,31,0.3908317089
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=41.'] time: 0.39413022994995117",WillsSampler,30,30,2,41,0.3941302299
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=51.'] time: 0.495743989944458",WillsSampler,30,30,2,51,0.4957439899
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.', 'cluster_centers=6.'] time: 0.09000968933105469",WillsSampler,30,30,2,6,0.09000968933
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=2.'] time: 0.19223499298095703",WillsSampler,30,30,2,0,0.192234993
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=1.'] time: 0.0550081729888916",WillsSampler,30,30,4,1,0.05500817299
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=11.'] time: 0.13291311264038086",WillsSampler,30,30,4,11,0.1329131126
"WillsSampler.w=30.['sample_size=30.', 'parallel_count=4.', 'cluster_centers=16.'] time: 0.21190571784973145",WillsSampler,30,30,4,16,0.2119057178
